Exam,Homepage,CutoffURL
ACCA FOUNDATION,https://www.accaglobal.com/,https://www.accaglobal.com/gb/en/student/exam-support-resources/foundation-level-study-resources/pass-rates-foundation-level-exams.html
Actuarial Common Entrance Test,https://actuariesindia.org/,https://actuariesindia.org/education/examinations
Advanced Industrial Training Institute Courses Admission,State-specific ITI admission portals,https://www.shiksha.com/it-software/articles/iti-admission-blogId-162761
Air India Cadet Pilot Program,https://cadetpilot.airindia.com/,"No official cutoff. Selection based on aptitude tests, interviews, and DGCA medical fitness."
Aligarh Muslim University Entrance Examination – Law,https://www.amucontrollerexams.com/,https://www.amucontrollerexams.com/
Aligarh Muslim University Undergraduate Entrance Test,https://www.amucontrollerexams.com/,https://www.amucontrollerexams.com/
All India Entrance Examination for Design – Interaction Design,https://www.aieed.com/,https://www.aieed.com/admission-process/
All India Law Entrance Test,https://nationallawuniversitydelhi.in/,https://nationallawuniversitydelhi.in/
All India Veterinary Entrance Test,https://mcc.nic.in/,https://mcc.nic.in/WebinfoUG/Page/Page?PageId=1&LangId=P
ALLIANCE UNIVERSITY ENTRANCE TEST,https://www.alliance.edu.in/,https://www.alliance.edu.in/admissions
Amadeus GDS Certification Examination,https://amadeus.com/en,No official cutoff. Certification/pass criteria apply.
Amity University Entrance Examination,https://www.amity.edu/admission,https://www.amity.edu/admission-procedure
Amrita Engineering Entrance Examination,https://www.amrita.edu/admissions/btech/,https://www.amrita.edu/admissions/btech/cutoff/
Anant National University Design Entrance Examination,https://anu.edu.in/,https://anu.edu.in/admissions/
Andhra Pradesh Engineering and Agriculture and Pharmacy Common Entrance Test,https://cets.apsche.ap.gov.in/,https://eapcet-sche.aptonline.in/EAPCET/Views/CollegeWiseLastRank.aspx
Andhra Pradesh Law Common Entrance Test,https://cets.apsche.ap.gov.in/,https://lawcet-sche.aptonline.in/LAWCET/
Andhra Pradesh Polytechnic Entrance Examination,https://appolycet.nic.in/,https://appolycet.nic.in/
Apeejay Design Entrance Examination,https://www.apeejay.edu/,https://www.apeejay.edu/admissions
Armed Forces Medical College Entrance Examination,https://afmc.nic.in/,https://neet.nta.nic.in/
Army Institute of Fashion and Design Entrance Examination,https://www.aifd.edu.in/,https://www.aifd.edu.in/admission.php
Arunachal Pradesh Polytechnic Entrance Examination,https://apdhte.nic.in/,https://apdhte.nic.in/
Aryabhatta Knowledge University Entrance Examination,https://akubihar.ac.in/,https://akubihar.ac.in/
Ashoka University Aptitude and Aptitude Test – Interdisciplinary,https://www.ashoka.edu.in/,https://www.ashoka.edu.in/admissions/undergraduate/
Assam Agriculture Entrance Examination,https://www.aau.ac.in/,https://www.aau.ac.in/admission.html
Assam Combined Entrance Examination,https://astu.ac.in/,https://astu.ac.in/
Assam Polytechnic Entrance Examination,https://dte.assam.gov.in/,https://dte.assam.gov.in/portlets/polytechnic-admission
Auxiliary Nurse Midwifery Admission,State Nursing Councils,https://www.shiksha.com/nursing/anm-chp
Avantika University Design Entrance Examination,https://www.avantikauniversity.edu.in/,https://www.avantikauniversity.edu.in/admissions/
AVEE - Assam Veterinary Entrance Examination,https://vetbifg.ac.in/,https://vetbifg.ac.in/admission-notice.php
Azim Premji University Undergraduate Entrance Examination,https://azimpremjiuniversity.edu.in/admissions,https://azimpremjiuniversity.edu.in/admissions/undergraduate
Baba Farid University of Health Sciences Punjab Para Medical Entrance Test,https://bfuhs.ac.in/,https://bfuhs.ac.in/AllNotifications.aspx
Bachelor of Business Administration in Aviation Admission,Institution-specific admission portals,https://www.shiksha.com/business-management-studies/bba-in-aviation-chp
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://exams.nta.ac.in/NCHM/,https://nchmcounselling.nic.in/
Bachelor of Science in Aviation Admission,Institution-specific admission portals,https://www.shiksha.com/science/b-sc-in-aviation-chp
Bachelor of Science in Nautical Science Admission,https://www.imu.edu.in/,https://www.imu.edu.in/imunew/index.php?prod_id=101
Banaras Hindu University Undergraduate Entrance Test – Law,https://www.bhu.ac.in/,https://bhuonline.in/
Bennett University Engineering Entrance Test,https://www.bennett.edu.in/admission/,https://www.bennett.edu.in/admission/btech/
Bharati Vidyapeeth Common Entrance Test,https://www.bvuniversity.edu.in/,https://admissions.bvuniversity.edu.in/
Bihar Combined Entrance Competitive Examination,https://bceceboard.bihar.gov.in/,https://bceceboard.bihar.gov.in/pdfviewer.php?type=download&file=2025/UGMAC2025_OpeningClosingRank.pdf
Bihar Engineering Entrance Examination,https://bceceboard.bihar.gov.in/,https://bceceboard.bihar.gov.in/
Bihar Polytechnic Common Entrance Competitive Examination,https://bceceboard.bihar.gov.in/,https://bceceboard.bihar.gov.in/pdfviewer.php?type=download&file=2025/PE_OpeningClosingRank.pdf
Bihar Sanskrit Studies Entrance,Bihar Sanskrit University Portal,https://www.collegedekho.com/colleges/kameshwar-singh-darbhanga-sanskrit-university-admission
Birla Institute of Technology and Science Admission Test,https://www.bitsadmission.com/,https://www.bitsadmission.com/bitsat/2025/BITSAT-2025_Cut-off_Scores.pdf
Birla Institute of Technology Mesra Entrance Examination,https://www.bitmesra.ac.in/,https://www.bitmesra.ac.in/Show_Brochure_Details/Admission_Criteria
Cabin Crew Training Programme Admission,Institution-specific admission portals,https://www.shiksha.com/hospitality-travel/aviation/cabin-crew-chp
Central Sanskrit University Entrance Examination – Sanskrit Studies,https://www.sanskrit.nic.in/,https://www.sanskrit.nic.in/admission.php
Central Teacher Eligibility Test,https://ctet.nic.in/,https://ctet.nic.in/webinfo/public/home.aspx
Chandigarh Polytechnic Entrance,https://chdpolyadmissions.nic.in/,https://chdpolyadmissions.nic.in/Public/View.aspx?page=47
Chandigarh University Common Entrance Test,https://cucet.cuchd.in/,https://www.cuchd.in/admissions/
Chandigarh University Common Entrance Test – Engineering,https://cucet.cuchd.in/,https://www.cuchd.in/admissions/engineering/
Chartered Accountancy Final Examination,https://www.icai.org/,https://www.catestseries.org/blogs/icai-ca-final-result-dec-2022---qualifying-marks--passing-criteria---merit-list.php
Chartered Accountancy Foundation Examination,https://www.icai.org/,https://finance.careers360.com/articles/ca-foundation-pass-percentage
Chartered Accountancy Intermediate Examination,https://www.icai.org/,https://www.aspirantmitraa.com/exams/ca-intermediate-cutoff
Chennai Mathematical Institute Entrance Examination,https://www.cmi.ac.in/,https://www.cmi.ac.in/admissions/
Chhattisgarh Agriculture Entrance Examination,https://vyapam.cgstate.gov.in/,https://vyapam.cgstate.gov.in/
Chhattisgarh Pre Engineering Test,https://vyapam.cgstate.gov.in/,https://cgdteraipur.cgstate.gov.in/
Chhattisgarh Pre Pharmacy and Health Sciences Test,https://vyapam.cgstate.gov.in/,https://cgdme.admissions.nic.in/
Chhattisgarh Pre Polytechnic Test,https://vyapam.cgstate.gov.in/,https://cgdteraipur.cgstate.gov.in/
Chhattisgarh Sanskrit Studies Entrance,Chhattisgarh Sanskrit University Portal,https://www.collegedekho.com/colleges/shri-lal-bahadur-shastri-government-sanskrit-college-admission
Christ University Entrance Examination,https://christuniversity.in/,https://christuniversity.in/admission-all
Christ University Law Entrance Examination,https://christuniversity.in/,https://christuniversity.in/admission-all
Cochin University of Science and Technology Combined Admission Test – Marine Engineering,https://admissions.cusat.ac.in/,https://admissions.cusat.ac.in/
College of Art Chandigarh Entrance Examination,https://chandigarh.gov.in/collegeart/home,https://chandigarh.gov.in/collegeart/admissions
Common Design Entrance Examination,https://www.ceed.iitb.ac.in/,https://www.ceed.iitb.ac.in/2025/
Common Law Admission Test – Undergraduate,https://consortiumofnlus.ac.in/,https://consortiumofnlus.ac.in/clat-2025/notifications.html
Common University Entrance Test – Undergraduate,https://cuet.nta.nic.in/,https://cuetug.ntaonline.in/
Company Secretary Executive Entrance Test,https://www.icsi.edu/,No official cutoff. CSEET is a qualifying examination.
Consortium of Medical Engineering and Dental Colleges of Karnataka Undergraduate Entrance Test,https://www.comedk.org/,https://comedk.org/uploads/engineering-cutoff-ranks.pdf
Cost Management Accountancy Foundation Examination,https://icmai.in/,No official cutoff. ICMAI pass criteria apply.
Craft Instructor Training Scheme Admission,https://nimionlineadmission.in/,https://nimionlineadmission.in/
Dadra & Nagar Haveli Polytechnic Entrance,https://daman.nic.in/,https://daman.nic.in/education/
DAIICT Entrance Test,https://www.daiict.ac.in/,https://www.daiict.ac.in/admissions
Defence Institute of Advanced Technology Entrance Examination,https://www.diat.ac.in/,https://www.diat.ac.in/admission
Delhi College of Art Entrance Examination,https://colart.delhi.gov.in/,https://colart.delhi.gov.in/admissions
Delhi Common Entrance Test for Polytechnic Admission,https://cetdelhi.nic.in/,https://cetdelhi.nic.in/webinfo/public/home.aspx
Diploma in Aviation Admission,Institution-specific admission portals,https://www.shiksha.com/hospitality-travel/aviation/diploma-in-aviation-chp
Dual System Training Admission,https://dgt.gov.in/,https://dgt.gov.in/
English and Foreign Languages University Entrance Examination – Pashto and Persian,https://www.efluniversity.ac.in/,https://www.efluniversity.ac.in/admissions2025
FLAME University Entrance Examination,https://www.flame.edu.in/,https://www.flame.edu.in/admissions/undergraduate
Footwear Design and Development Institute All India Selection Test,https://fddiindia.com/,https://fddiindia.com/admission-new/
Frankfinn Institute of Air Hostess Training Entrance Test,https://www.frankfinn.com/,No official cutoff. Admission based on screening/interview process.
Galgotias University Entrance Test,https://www.galgotiasuniversity.edu.in/,https://www.galgotiasuniversity.edu.in/admissions/
Galileo Global Distribution System Certification Examination,https://www.travelport.com/,No official cutoff. Certification/pass criteria apply.
General Nursing and Midwifery Admission,State Nursing Admission Portals,https://www.shiksha.com/nursing/gnm-chp
General Purpose Rating Course Admission,https://www.dgshipping.gov.in/,https://www.dgshipping.gov.in/
GLS University Design Entrance Examination,https://www.glsuniversity.ac.in/,https://www.glsuniversity.ac.in/admission
Goa Common Entrance Test,https://dte.goa.gov.in/,https://dte.goa.gov.in/admissions.php
Goa Common Entrance Test – Engineering,https://dte.goa.gov.in/,https://dte.goa.gov.in/admissions.php
Goa Polytechnic Entrance Examination,https://dte.goa.gov.in/,https://dte.goa.gov.in/admissions.php
Graphic Era University Entrance Test,https://www.geu.ac.in/,https://www.geu.ac.in/admissions/
Gujarat Common Entrance Test,https://gujcet.gseb.org/,https://gujacpc.admissions.nic.in/
Gujarat Common Entrance Test – Medical and Pharmacy,https://www.medadmgujarat.org/,https://www.medadmgujarat.org/ug/home.aspx
Gujarat Common Entrance Test – Polytechnic,https://acpdc.gujarat.gov.in/,https://acpdc.gujarat.gov.in/meritlist.aspx
Guru Gobind Singh Indraprastha University Common Entrance Test,https://ipu.ac.in/,https://ipu.admissions.nic.in/
Guru Gobind Singh Indraprastha University Common Entrance Test for Bachelor of Hotel Management and Catering Technology,https://ipu.ac.in/,https://ipu.admissions.nic.in/
Guru Gobind Singh Indraprastha University Common Entrance Test for Bachelor of Journalism and Mass Communication,https://ipu.ac.in/,https://ipu.admissions.nic.in/
Haryana Agriculture Entrance Examination,https://admissions.hau.ac.in/,https://admissions.hau.ac.in/
Haryana Bachelor of Arts Entrance Examination,https://highereduhry.ac.in/,https://www.collegedekho.com/courses/ba-bachelor-of-arts-colleges-in-haryana/
Haryana Bachelor of Business Administration Admission,https://highereduhry.ac.in/,https://www.shiksha.com/bba/colleges/bba-colleges-haryana
Himachal Pradesh Bachelor of Arts Entrance Examination,https://www.hpuniv.ac.in/,https://www.careers360.com/courses/ba-bachelor-of-arts
Himachal Pradesh Bachelor of Business Administration Admission,https://www.hpuniv.ac.in/,https://www.shiksha.com/bba/colleges/bba-colleges-himachal-pradesh
Himachal Pradesh Common Entrance Test,https://www.hptechboard.com/,https://www.hptechboard.com/
Himachal Pradesh Polytechnic Admission Test,https://www.hptechboard.com/,https://www.hptechboard.com/
Himachal Pradesh Polytechnic Entrance,https://www.hptechboard.com/,https://www.hptechboard.com/
ICFAI Technology School Admission Test,https://www.ifheindia.org/itsat/,https://www.ifheindia.org/itsat/
IMS Design and Innovation Academy Entrance Examination,https://imsdia.org/,https://imsdia.org/admissions/
Indian Council of Agricultural Research All India Entrance Examination for Admission Undergraduate,https://exams.nta.ac.in/ICAR/,https://icaradmission.in/
Indian Institute of Art and Design Entrance Test,https://www.iiad.edu.in/,https://www.iiad.edu.in/admissions/
Indian Institute of Foreign Trade Entrance Examination,https://www.iift.ac.in/,https://www.iift.ac.in/iift/admissions.php
Indian Institute of Petroleum and Energy Entrance Examination,https://www.iipe.ac.in/,https://www.iipe.ac.in/admissions.php
Indian Institute of Science Bachelor of Science Research Admission,https://www.iisc.ac.in/admissions/,https://www.iisc.ac.in/admissions/undergraduate-programmes/
Indian Institute of Space Science and Technology Admission,https://www.iist.ac.in/admissions,https://www.iist.ac.in/admissions/undergraduate
Indian Institutes of Science Education and Research Aptitude Test,https://iiseradmission.in/,https://iiseradmission.in/examination/
Indian Maritime University Common Entrance Test,https://www.imu.edu.in/,https://www.imu.edu.in/imunew/index.php?prod_id=101
Indira Gandhi National Tribal University Entrance Examination Folk Literature,https://igntu.ac.in/,https://igntu.ac.in/admission.aspx
Indira Gandhi Rashtriya Uran Akademi Entrance Examination,https://igrua.gov.in/,"No official cutoff. Selection based on written test, aptitude assessment, interview, and medical fitness."
Indira Kala Sangeet University Entrance,https://iksv.ac.in/,https://iksv.ac.in/admission/
Industrial Training Institute Admission National Council for Vocational Training,https://dgt.gov.in/,State-specific ITI merit/cutoff portals
Industrial Training Institute Admission State Council for Vocational Training,State Skill Development Portals,State-specific ITI merit/cutoff portals
Industrial Training Institute Trades Admission,https://dgt.gov.in/,State-specific ITI trade merit portals
Institute of Hotel Management Aurangabad Entrance Test,https://www.ihma.ac.in/,https://www.ihma.ac.in/admissions
Institute of Hotel Management Catering Technology Entrance Vegetarian Culinary Arts,https://www.ihmjaipur.com/,https://www.shiksha.com/hospitality-travel/hotel-hospitality-management-chp
Integrated Bachelor of Arts and Bachelor of Education Entrance Examination,Institution/University-specific portals,https://www.shiksha.com/teaching-education/ba-b-ed-chp
Inter National Institute of Fashion Design Entrance Examination,https://www.inifd.org/,https://www.inifd.org/admissions
International Air Transport Association Certification,https://www.iata.org/,No official cutoff. Certification pass criteria apply.
International Institute of Hotel Management Electronic Common Hospitality Admission Test,https://www.iihm.ac.in/echat/,https://www.iihm.ac.in/echat/
ITM Design Entrance Examination,https://www.itm.edu/design-school/,https://www.itm.edu/design-school/admissions
Jain Entrance Test,https://www.jainuniversity.ac.in/jet,https://www.jainuniversity.ac.in/jet
Jamia Millia Islamia Engineering Entrance Examination,https://www.jmi.ac.in/,https://admission.jmi.ac.in/
Jamia Millia Islamia Mass Communication Entrance,https://www.jmi.ac.in/,https://admission.jmi.ac.in/
Jamia Social Work Entrance,https://www.jmi.ac.in/,https://admission.jmi.ac.in/
Jammu and Kashmir Bachelor of Business Administration Admission,https://www.jakbopee.gov.in/,https://www.jakbopee.gov.in/
Jawaharlal Institute of Postgraduate Medical Education and Research Nursing Entrance Examination,https://jipmer.edu.in/,https://jipmer.edu.in/education/undergraduate
JD Institute of Fashion Technology Design Entrance Examination,https://www.jdinstitute.edu.in/,https://www.jdinstitute.edu.in/admission/
Jharkhand Bachelor of Business Administration Admission,https://jharkhanduniversities.nic.in/,https://www.shiksha.com/bba/colleges/bba-colleges-jharkhand
Jharkhand Combined Entrance Competitive Examination,https://jceceb.jharkhand.gov.in/,https://jceceb.jharkhand.gov.in/
Jharkhand Combined Entrance Competitive Examination Pre Polytechnic Test,https://jceceb.jharkhand.gov.in/,https://jceceb.jharkhand.gov.in/
JK Lakshmipat University Design Entrance Examination,https://jklu.edu.in/,https://jklu.edu.in/admissions/
Joint Entrance Examination JoSAA Joint Seat Allocation (JEE Main and Advanced),https://josaa.nic.in/,https://josaa.nic.in/or-cr/
Joint Entrance Examination CSAB Special Rounds (JEE Main),https://csab.nic.in/,https://csab.nic.in/
Joint Entrance Examination CSAB NEUT North Eastern States and Union Territories (JEE Main),https://csab.nic.in/,https://csab.nic.in/
Joint Entrance Examination JAC Delhi Joint Admission Counselling (JEE Main),https://jacdelhi.admissions.nic.in/,https://jacdelhi.admissions.nic.in/
Joint Entrance Examination Advanced IIT Joint Admission (JEE Advanced),https://jeeadv.ac.in/,https://josaa.nic.in/or-cr/
Joint Entrance Examination Council Uttar Pradesh Polytechnic Entrance Examination,https://jeecup.admissions.nic.in/,https://jeecup.admissions.nic.in/
Joint Entrance Test Agriculture,https://www.bskkvs.org/,https://www.bskkvs.org/admission.php
Joint Integrated Programme in Management Admission Test,https://www.iimj.ac.in/,https://www.iimj.ac.in/academics/ipm
K. R. Mangalam University Entrance Test,https://www.krmangalam.edu.in/,https://www.krmangalam.edu.in/admissions/
Kalinga Institute of Industrial Technology Entrance Examination Management Undergraduate,https://kiitee.kiit.ac.in/,https://admission.kiit.ac.in/management/
Karnataka Bachelor of Business Administration Entrance Examination,https://kea.kar.nic.in/,https://www.shiksha.com/bba/colleges/bba-colleges-karnataka
Karnataka Chitrakala Parishath Entrance,https://www.chitrakalaparishath.org/,https://www.chitrakalaparishath.org/admissions
Karnataka Common Entrance Test,https://cetonline.karnataka.gov.in/kea/,https://keaonline.karnataka.gov.in/ugcet_result_2025/main/results.php
Kashmir Polytechnic Entrance,https://jkbopee.gov.in/,https://www.jkbopee.gov.in/
Kerala Dairy Technology Entrance,https://admissions.kau.in/,https://admissions.kau.in/
Kerala Engineering Architecture Medical Entrance Examination,https://cee.kerala.gov.in/,https://cee.kerala.gov.in/keam-2025/
Kerala Fisheries Entrance Examination,https://admissions.kufos.ac.in/,https://admissions.kufos.ac.in/
Kerala Food Technology Entrance,https://admissions.kau.in/,https://admissions.kau.in/
